antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.03587771072352278,0.036872471649313614,0.02586378407056171,0.7208872458410353,19.550825143951386,1.0,0.024540884199066342,3.450675449256434,0.9841606964594996,0.5516265912305517,0.7102016649478049,0.7111630473809494
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.036872471649313614,0.03587771072352278,0.02586378407056171,0.7014388489208634,19.550825143951386,1.0,0.024540884199066342,3.2292288725163947,0.9851771813763139,0.5516265912305517,0.6903285460777067,0.7111630473809494
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",0.04582531998143113,0.028914384242986934,0.02586378407056171,0.5643994211287989,19.519676310094404,1.0,0.024538773160560783,2.229302858764439,0.9943353791977645,0.5291723202170965,0.5514292748208126,0.7294474169864178
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'ROSES REGENCY TEACUP AND SAUCER '})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.028914384242986934,0.04582531998143113,0.02586378407056171,0.8944954128440368,19.5196763100944,1.0,0.024538773160560783,9.04391653234992,0.9770195612850807,0.5291723202170965,0.8894284355209362,0.7294474169864178
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.04582531998143113,0.036872471649313614,0.03050600172425227,0.6657018813314037,18.05417026725942,1.0,0.028816308912416228,2.881043818572832,0.9899771548754397,0.5844980940279543,0.6529035783650924,0.7465200054139033
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.036872471649313614,0.04582531998143113,0.03050600172425227,0.8273381294964028,18.05417026725942,1.0,0.028816308912416228,5.526261688440877,0.9807747231527801,0.5844980940279543,0.8190458475588169,0.7465200054139033
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",0.05192652032628158,0.03050600172425227,0.02586378407056171,0.4980842911877395,16.327419623521575,1.0,0.024279713551953745,1.9315872790074058,0.9901693857345788,0.45720984759671757,0.4822910614145922,0.6729551890721307
"frozenset({'PINK REGENCY TEACUP AND SAUCER', 'GREEN REGENCY TEACUP AND SAUCER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.03050600172425227,0.05192652032628158,0.02586378407056171,0.8478260869565218,16.327419623521575,1.0,0.024279713551953745,6.230197152141582,0.9682920540708352,0.45720984759671757,0.8394914357314909,0.6729551890721307
"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.027853305922143377,0.04582531998143113,0.020691027256449366,0.7428571428571429,16.21062642133554,1.0,0.019414640600026456,3.710679311183324,0.9651959678223407,0.3904881101376721,0.7305075658286667,0.597188339880091
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),"frozenset({'ROSES REGENCY TEACUP AND SAUCER ', 'REGENCY CAKESTAND 3 TIER'})",0.04582531998143113,0.027853305922143377,0.020691027256449366,0.4515195369030391,16.21062642133554,1.0,0.019414640600026456,1.772436320864905,0.9833755693847438,0.3904881101376721,0.43580483641182394,0.597188339880091
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",0.05192652032628158,0.02480270574971815,0.020691027256449366,0.39846743295019155,16.065482410309997,1.0,0.019403109052189844,1.6211878585944177,0.9891161056347122,0.3692307692307692,0.3831683387593293,0.6163460159403364
"frozenset({'GREEN REGENCY TEACUP AND SAUCER', 'REGENCY CAKESTAND 3 TIER'})",frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.02480270574971815,0.05192652032628158,0.020691027256449366,0.8342245989304813,16.065482410309997,1.0,0.019403109052189844,5.719023893515657,0.9616051578479323,0.3692307692307692,0.8251449865187974,0.6163460159403364
frozenset({'PINK REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.036872471649313614,0.05192652032628158,0.028914384242986934,0.7841726618705036,15.101583101335025,1.0,0.026999725094408608,4.392740455821563,0.9695307727634812,0.48283499446290146,0.7723516765770372,0.6705026783171164
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'PINK REGENCY TEACUP AND SAUCER'}),0.05192652032628158,0.036872471649313614,0.028914384242986934,0.5568326947637292,15.101583101335024,1.0,0.026999725094408608,2.17328200201322,0.9849255325156712,0.48283499446290146,0.53986643285425,0.6705026783171164
frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),0.04582531998143113,0.05192652032628158,0.03587771072352278,0.7829232995658466,15.077522904410474,1.0,0.03349816131404863,4.3674584963635965,0.9785169608890547,0.5798499464094319,0.7710338859928233,0.7369278055939067
frozenset({'ROSES REGENCY TEACUP AND SAUCER '}),frozenset({'GREEN REGENCY TEACUP AND SAUCER'}),0.05192652032628158,0.04582531998143113,0.03587771072352278,0.6909323116219668,15.077522904410474,1.0,0.03349816131404863,3.087267663035287,0.9848140761941604,0.5798499464094319,0.6760889857483762,0.7369278055939067
frozenset({'DOLLY GIRL LUNCH BOX'}),frozenset({'SPACEBOY LUNCH BOX '}),0.040851515352476955,0.04668744611711652,0.02811857550235427,0.6883116883116883,14.742971517119244,1.0,0.026211322580532943,3.058544443707585,0.9718735772087265,0.47321428571428575,0.6730470920383964,0.6452922077922079
frozenset({'SPACEBOY LUNCH BOX '}),frozenset({'DOLLY GIRL LUNCH BOX'}),0.04668744611711652,0.040851515352476955,0.02811857550235427,0.6022727272727273,14.742971517119244,1.0,0.026211322580532943,2.4115733328280577,0.9778231337161608,0.47321428571428575,0.5853329499098012,0.6452922077922079
frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),0.04211154585847868,0.05013595065985808,0.03070495390941044,0.7291338582677166,14.543134191559389,1.0,0.0285936515240394,3.5067655309941292,0.9721789911196469,0.4989224137931035,0.7148369370117224,0.6707838603507895
frozenset({'GARDENERS KNEELING PAD KEEP CALM '}),frozenset({'GARDENERS KNEELING PAD CUP OF TEA '}),0.05013595065985808,0.04211154585847868,0.03070495390941044,0.6124338624338624,14.543134191559389,1.0,0.0285936515240394,2.4715483663173727,0.980391911452362,0.4989224137931035,0.595395334508461,0.6707838603507895
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.05816035546123748,0.05232442469659792,0.03514821937794283,0.6043329532497149,11.549729533653297,1.0,0.03210501223828394,2.3951339468042754,0.9698231447603711,0.4665492957746479,0.5824868160988419,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.05232442469659792,0.05816035546123748,0.03514821937794283,0.6717363751584283,11.549729533653297,1.0,0.03210501223828394,2.869156291664415,0.9638508258843103,0.4665492957746479,0.6514654838060795,0.6380346642040716
frozenset({'ALARM CLOCK BAKELIKE RED '}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.05816035546123748,0.040652563167318786,0.02626168844087804,0.45153933865450396,11.10727844628265,1.0,0.02389732091665637,1.749163621834223,0.9661612249804054,0.3619744058500914,0.4282981949102216,0.5487713006486222
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE RED '}),0.040652563167318786,0.05816035546123748,0.02626168844087804,0.6460032626427405,11.10727844628265,1.0,0.02389732091665637,2.660588488950513,0.9485290831723846,0.3619744058500914,0.6241433035762488,0.5487713006486222
frozenset({'ALARM CLOCK BAKELIKE PINK'}),frozenset({'ALARM CLOCK BAKELIKE GREEN'}),0.040652563167318786,0.05232442469659792,0.02274686650308376,0.5595432300163132,10.693729233733825,1.0,0.0206197445229117,2.151574546892539,0.9448998536429445,0.323890462700661,0.5352240983496143,0.4971353665924405
frozenset({'ALARM CLOCK BAKELIKE GREEN'}),frozenset({'ALARM CLOCK BAKELIKE PINK'}),0.05232442469659792,0.040652563167318786,0.02274686650308376,0.4347275031685678,10.693729233733823,1.0,0.0206197445229117,1.6971415418407745,0.9565375285373572,0.323890462700661,0.41077395411854234,0.4971353665924405
"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),0.06492472975661516,0.046223224351747465,0.02990914516877777,0.4606741573033708,9.96629213483146,1.0,0.026908114819261173,1.7684611048478016,0.962127659574468,0.3681632653061225,0.4345366164634632,0.5538664904163912
frozenset({'PAPER CHAIN KIT VINTAGE CHRISTMAS'}),"frozenset({""PAPER CHAIN KIT 50'S CHRISTMAS ""})",0.046223224351747465,0.06492472975661516,0.02990914516877777,0.6470588235294118,9.96629213483146,1.0,0.026908114819261173,2.6493799323562572,0.9432624113475176,0.3681632653061225,0.6225531914893617,0.5538664904163912
frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),frozenset({'WOODEN FRAME ANTIQUE WHITE '}),0.05809403806618476,0.05378340738775781,0.03103654088467405,0.5342465753424658,9.933297299123355,1.0,0.027912045568560525,2.0315826841380495,0.9547964767284629,0.383921246923708,0.5077729260995963,0.555655963380234
frozenset({'WOODEN FRAME ANTIQUE WHITE '}),frozenset({'WOODEN PICTURE FRAME WHITE FINISH'}),0.05378340738775781,0.05809403806618476,0.03103654088467405,0.5770653514180024,9.933297299123355,1.0,0.027912045568560525,2.2270721140767464,0.9504467591095008,0.383921246923708,0.5509799643759811,0.555655963380234
"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG  BLACK SKULL.'})",frozenset({'LUNCH BAG PINK POLKADOT'}),0.03428609324225745,0.06174149479408449,0.020425757676238478,0.5957446808510638,9.649016157414813,1.0,0.018308883028812145,2.320955249719896,0.9281863754978711,0.27017543859649124,0.5691429207346049,0.46328587426011836
frozenset({'LUNCH BAG PINK POLKADOT'}),"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG  BLACK SKULL.'})",0.06174149479408449,0.03428609324225745,0.020425757676238478,0.33082706766917297,9.649016157414813,1.0,0.018308883028812145,1.443145501109885,0.9553470455188012,0.27017543859649124,0.3070691768564386,0.46328587426011836
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),0.06552158631208967,0.03965780224152795,0.023608992638769147,0.36032388663967607,9.085825897390762,1.0,0.021010550526253093,1.5012944483945734,0.9523370961941603,0.2894308943089431,0.33390814768591087,0.47782080619609224
frozenset({'LUNCH BAG DOLLY GIRL DESIGN'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.03965780224152795,0.06552158631208967,0.023608992638769147,0.5953177257525084,9.085825897390762,1.0,0.021010550526253093,2.3091656668816958,0.9266889042519101,0.2894308943089431,0.5669431542560552,0.47782080619609224
frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.03959148484647523,0.05743086411565754,0.02016048809602759,0.509212730318258,8.866534365437658,1.0,0.017886714909672558,1.9205248263581995,0.923790603943916,0.26229508196721313,0.4793089960225858,0.43012599564411746
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG VINTAGE LEAF DESIGN'}),0.05743086411565754,0.03959148484647523,0.02016048809602759,0.35103926096997695,8.866534365437658,1.0,0.017886714909672558,1.4799177475497376,0.9412745744259333,0.26229508196721313,0.3242867708994809,0.43012599564411746
frozenset({'LUNCH BAG  BLACK SKULL.'}),"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG PINK POLKADOT'})",0.06976589959546389,0.03468399761257378,0.020425757676238478,0.29277566539923955,8.441231851921861,1.0,0.018005997381230345,1.3649360678918983,0.9476473480180616,0.24309392265193372,0.26736495318460657,0.4408428996212259
"frozenset({'LUNCH BAG RED RETROSPOT', 'LUNCH BAG PINK POLKADOT'})",frozenset({'LUNCH BAG  BLACK SKULL.'}),0.03468399761257378,0.06976589959546389,0.020425757676238478,0.5889101338432122,8.44123185192186,1.0,0.018005997381230345,2.2628485326119647,0.9132075673707989,0.24309392265193372,0.5580791265574818,0.4408428996212259
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG ALPHABET DESIGN'}),0.05743086411565754,0.042907354599111346,0.020425757676238478,0.3556581986143187,8.28897987156926,1.0,0.01796155122469458,1.4853803421454652,0.9329372871552567,0.2556016597510373,0.3267717556059667,0.4158507376379167
frozenset({'LUNCH BAG ALPHABET DESIGN'}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.042907354599111346,0.05743086411565754,0.020425757676238478,0.4760432766615147,8.28897987156926,1.0,0.01796155122469458,1.7989446339739514,0.9187803258271663,0.2556016597510373,0.44411852309709277,0.4158507376379167
frozenset({'HEART OF WICKER SMALL'}),frozenset({'HEART OF WICKER LARGE'}),0.06366469925061344,0.053053916042177865,0.026924862391405267,0.42291666666666666,7.971450520833333,1.0,0.02354720078251272,1.6409174018041681,0.9340161756665808,0.2998522895125554,0.39058480402455825,0.46520833333333333
frozenset({'HEART OF WICKER LARGE'}),frozenset({'HEART OF WICKER SMALL'}),0.053053916042177865,0.06366469925061344,0.026924862391405267,0.5075,7.971450520833332,1.0,0.02354720078251272,1.901188427917536,0.9235502755260491,0.2998522895125554,0.47401320915078965,0.46520833333333333
frozenset({'LUNCH BAG RED RETROSPOT'}),"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG PINK POLKADOT'})",0.08541680482790635,0.030771271304463162,0.020425757676238478,0.23913043478260873,7.771223763118441,1.0,0.017797374000918593,1.2738434719998486,0.952696422568078,0.21329639889196678,0.21497419268470452,0.4514617691154423
"frozenset({'LUNCH BAG  BLACK SKULL.', 'LUNCH BAG PINK POLKADOT'})",frozenset({'LUNCH BAG RED RETROSPOT'}),0.030771271304463162,0.08541680482790635,0.020425757676238478,0.6637931034482758,7.77122376311844,1.0,0.017797374000918593,2.7202987343580216,0.8989829875905825,0.21329639889196678,0.6323933149805344,0.4514617691154423
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG SPACEBOY DESIGN '}),0.05438026394323231,0.06552158631208967,0.026858544996352544,0.49390243902439024,7.5380110101708295,1.0,0.02329546383872183,1.8464392752387624,0.9172175424834563,0.28866714183891656,0.45841706607400334,0.45191073368223555
frozenset({'LUNCH BAG SPACEBOY DESIGN '}),frozenset({'LUNCH BAG WOODLAND'}),0.06552158631208967,0.05438026394323231,0.026858544996352544,0.4099190283400809,7.5380110101708295,1.0,0.02329546383872183,1.6025253846039218,0.9281530720510685,0.28866714183891656,0.37598492379129533,0.45191073368223555
frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.04430001989521851,0.06804164732409311,0.022150009947609257,0.5,7.348440545808967,1.0,0.01913576361744849,1.8639167053518138,0.9039622510582195,0.2455882352941176,0.46349533907350743,0.4127680311890838
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'PACK OF 60 PINK PAISLEY CAKE CASES'}),0.06804164732409311,0.04430001989521851,0.022150009947609257,0.3255360623781676,7.348440545808967,1.0,0.01913576361744849,1.4169771381322338,0.9269906781470149,0.2455882352941176,0.2942723117479973,0.4127680311890838
frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),frozenset({'60 TEATIME FAIRY CAKE CASES'}),0.06804164732409311,0.04357052854963857,0.021752105577292923,0.31968810916179335,7.337255704795559,1.0,0.018787495039994086,1.4058691084642847,0.9267680887511217,0.24206642066420664,0.2886962278498601,0.4094635370770915
frozenset({'60 TEATIME FAIRY CAKE CASES'}),frozenset({'PACK OF 72 RETROSPOT CAKE CASES'}),0.04357052854963857,0.06804164732409311,0.021752105577292923,0.4992389649923896,7.337255704795559,1.0,0.018787495039994086,1.8610840051917046,0.9030558834571843,0.24206642066420664,0.46267874141608506,0.4094635370770915
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG CARS BLUE'}),0.06174149479408449,0.06406260362092978,0.028317527687512434,0.4586466165413534,7.159350238951416,1.0,0.0243622067795553,1.728884357200227,0.9169354876087451,0.2904761904761904,0.42159231423702037,0.4503378010242999
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.06406260362092978,0.06174149479408449,0.028317527687512434,0.44202898550724634,7.159350238951416,1.0,0.0243622067795553,1.681554204135277,0.9192094720249786,0.2904761904761904,0.40531206336328585,0.4503378010242999
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.06174149479408449,0.06976589959546389,0.030771271304463162,0.49838882921589694,7.143731136641169,1.0,0.02646382037778521,1.8544923928835613,0.9166099997075255,0.3054641211323239,0.46076888541716043,0.4697267339995834
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.06976589959546389,0.06174149479408449,0.030771271304463162,0.44106463878326996,7.143731136641168,1.0,0.02646382037778521,1.6786529718990189,0.9245168800072766,0.3054641211323239,0.4042842584261329,0.4697267339995834
frozenset({'LUNCH BAG APPLE DESIGN'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.05743086411565754,0.05961933815239737,0.02387426221898004,0.41570438799076215,6.972643455520248,1.0,0.02045027211088427,1.6094261920158575,0.908774048797267,0.25622775800711745,0.3786605406567491,0.40807466340583715
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG APPLE DESIGN'}),0.05961933815239737,0.05743086411565754,0.02387426221898004,0.40044493882091214,6.972643455520247,1.0,0.02045027211088427,1.5721143843414171,0.910888967246513,0.25622775800711745,0.36391396837265416,0.40807466340583715
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG WOODLAND'}),0.06406260362092978,0.05438026394323231,0.02400689700908548,0.3747412008281573,6.891125082058274,1.0,0.02052315571528865,1.5123653394550292,0.9134006380230913,0.2542134831460674,0.3387841059883431,0.4081023077311518
frozenset({'LUNCH BAG WOODLAND'}),frozenset({'LUNCH BAG CARS BLUE'}),0.05438026394323231,0.06406260362092978,0.02400689700908548,0.4414634146341463,6.891125082058273,1.0,0.02052315571528865,1.6756957751765011,0.9040481944329818,0.2542134831460674,0.4032329645906818,0.4081023077311518
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG CARS BLUE'}),0.05961933815239737,0.06406260362092978,0.02586378407056171,0.4338153503893215,6.771740857681758,1.0,0.0220444140423625,1.6530603523473166,0.9063643267874579,0.264406779661017,0.39506140923408056,0.4187710292319278
frozenset({'LUNCH BAG CARS BLUE'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06406260362092978,0.05961933815239737,0.02586378407056171,0.40372670807453415,6.771740857681758,1.0,0.0220444140423625,1.5770967349735836,0.9106671971831752,0.264406779661017,0.36592348597009167,0.4187710292319278
frozenset({'LUNCH BAG PINK POLKADOT'}),frozenset({'LUNCH BAG RED RETROSPOT'}),0.06174149479408449,0.08541680482790635,0.03468399761257378,0.5617615467239527,6.576709909200686,1.0,0.029410236401964267,2.086953320355929,0.9037469774592657,0.308372641509434,0.5208325982923996,0.48390872367253535
frozenset({'LUNCH BAG RED RETROSPOT'}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.08541680482790635,0.06174149479408449,0.03468399761257378,0.406055900621118,6.576709909200686,1.0,0.029410236401964267,1.579708437523162,0.9271417763101799,0.308372641509434,0.36697179286583537,0.48390872367253535
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG  BLACK SKULL.'}),0.05961933815239737,0.06976589959546389,0.027123814576563432,0.45494994438264735,6.521093356792718,1.0,0.022964417817075266,1.7066948087013836,0.900328469796297,0.26523994811932555,0.41407216164154415,0.4218666071723123
frozenset({'LUNCH BAG  BLACK SKULL.'}),frozenset({'LUNCH BAG SUKI DESIGN '}),0.06976589959546389,0.05961933815239737,0.027123814576563432,0.38878326996197715,6.521093356792718,1.0,0.022964417817075266,1.53853881222967,0.9101488345128318,0.26523994811932555,0.3500326465272675,0.4218666071723123
frozenset({'LUNCH BAG SUKI DESIGN '}),frozenset({'LUNCH BAG PINK POLKADOT'}),0.05961933815239737,0.06174149479408449,0.023741627428874593,0.3982202447163515,6.44979921598052,1.0,0.02006064037271159,1.5591393644734157,0.8985259354981051,0.2432065217391304,0.3586205166863065,0.39137650259448076
